nomor,provinsi,produksi,harga,tahun
1,Jawa Timur,5352936.0,12650.0,2024
2,Jawa Tengah,5113022.0,14080.0,2024
3,Jawa Barat,4981869.0,12880.0,2024
4,Sulawesi Selatan,2764990.0,12470.0,2024
5,Sumatra Selatan ,1670745.0,13850.0,2024
6,Jawa Timur,5607132.0,12033.0,2023
7,Jawa Tengah,5223899.0,12317.0,2023
8,Jawa Barat,5278209.0,13071.0,2023
9,Sulawesi Selatan,2798248.0,10904.0,2023
10,Sumatra Selatan ,1626735.0,11301.0,2023
11,Jawa Timur,5500801.88,12033.0,2022
12,Jawa Tengah,5380509.51,12317.0,2022
13,Jawa Barat,5447806.31,12500.0,2022
14,Sulawesi Selatan,3075859.99,12229.0,2022
15,Sumatra Selatan ,1593597.7,12483.0,2022
